company,location,industry,total_laid_off,percentage_laid_off,date,stage,country,funds_raised_millions
PharmEasy,Mumbai,Healthcare,,,2022-12-10,Unknown,India,1600
LumenAd,Missoula,Marketing,,,2020-04-16,Unknown,United States,
Food52,New York City,Food,,,2020-04-17,Acquired,United States,96
Better.com,New York City,Real Estate,,,2022-04-19,Unknown,United States,905
Better.com,New York City,Real Estate,,,2022-08-26,Unknown,United States,905
Claravine,Salt Lake City,Marketing,,,2020-03-31,Seed,United States,4
E Inc.,Toronto,Transportation,,,2022-12-16,Post-IPO,Canada,
Outdoorsy,SF Bay Area,Transportation,,,2020-06-04,Series C,United States,75
BetterCloud,New York City,Security,,,2020-05-13,Series E,United States,111
SumUp,London,Finance,,,2021-05-05,Unknown,United Kingdom,53
Getir,London,Food,,,2023-02-13,Series E,United Kingdom,1800
RateGenius,Austin,Finance,,,2023-01-17,Acquired,United States,2
Bond,SF Bay Area,Finance,,,2022-06-07,Series A,United States,42
Autograph,Los Angeles,Crypto,,,2022-12-16,Series B,United States,205
Juniper,Atlanta,Marketing,,,2022-11-11,Acquired,United States,
Emitwise,London,Energy,,,2022-10-11,Series A,United Kingdom,16
Autobooks,Detroit,Finance,,,2022-12-10,Series C,United States,97
Cheddar,New York City,Media,,,2020-04-24,Acquired,United States,54
Oracle,SF Bay Area,Other,,,2023-01-17,Post-IPO,United States,
Oracle,SF Bay Area,Other,,,2022-08-01,Post-IPO,United States,
Instacart,SF Bay Area,Food,,,2022-09-24,Unknown,United States,2900
Firebolt,Tel Aviv,Data,,,2022-09-07,Series C,Israel,264
CyberCube,SF Bay Area,Finance,,,2022-06-07,Series B,United States,35
Tempus Ex,SF Bay Area,Data,,,2022-05-30,Unknown,United States,36
Clearbit,SF Bay Area,Data,,,2020-04-22,Series A,United States,17
OYO,Dallas,Travel,,,2020-06-24,Series F,United States,3200
Spaces,Los Angeles,Media,,,2020-08-24,Acquired,United States,9.5
Sift,SF Bay Area,Security,,,2020-05-14,Series D,United States,106
Feedzai,Coimbra,Finance,,,2023-01-27,Unknown,Portugal,273
Spring,SF Bay Area,Retail,,,2022-07-12,Unknown,United States,61
Bikayi,Bengaluru,Retail,,,2022-07-28,Series A,India,12
League,Toronto,Healthcare,,,2020-05-05,Unknown,Canada,76
Anyvision,Tel Aviv,Security,,,2020-03-19,Series A,Israel,74
DataRobot,Boston,Data,,,2022-08-08,Series G,United States,1000
Nate,New York City,Retail,,,2023-01-27,Series A,United States,47
Bitfarms,Quebec,Crypto,,,2020-04-06,Post-IPO,Canada,25
Pinterest,SF Bay Area,Consumer,,,2022-11-30,Post-IPO,United States,1500
Rent the Runway,New York City,Retail,,,2020-03-28,Series F,United States,541
Carbon,SF Bay Area,Hardware,,,2022-10-26,Series E,United States,683
Rain,Manama,Finance,,,2022-06-02,Series B,Bahrain,202
CarDekho,Gurugram,Transportation,,,2022-08-03,Series E,India,497
Checkmarx,Tel Aviv,Security,,,2020-05-18,Acquired,Israel,92
Spreetail,Austin,Retail,,,2022-10-27,,United States,
Cypress.io,Atlanta,Product,,,2023-01-18,Series B,United States,54
Imperfect Foods,SF Bay Area,Food,,,2021-09-22,Series D,United States,229
Tapas Media,SF Bay Area,Media,,,2022-07-28,Acquired,United States,17
Indigo,Boston,Other,,,2023-03-03,Series F,United States,1200
Pared,SF Bay Area,Food,,,2020-07-29,Unknown,United States,13
PeopleGrove,SF Bay Area,HR,,,2020-04-03,Series A,United States,7
StubHub,SF Bay Area,Consumer,,,2022-08-04,Acquired,United States,59
Perx Health,Sydney,Healthcare,,,2022-07-02,Seed,Australia,2
Petal,New York City,Finance,,,2020-05-12,Series B,United States,47
Petal,New York City,Finance,,,2022-08-18,Series D,United States,704
Amobee,SF Bay Area,Marketing,,,2022-11-09,Acquired,United States,72
Twitter,SF Bay Area,Consumer,,,2022-07-07,Post-IPO,United States,5700
Subspace,Los Angeles,Infrastructure,,,2021-03-03,Series B,United States,
Front,SF Bay Area,Support,,,2022-09-28,Series D,United States,203
Chipax,Santiago,Finance,,,2022-11-11,Seed,Chile,2
Almanac,SF Bay Area,Other,,,2022-08-13,Series A,United States,45
CreateMe,SF Bay Area,Manufacturing,,,2023-01-06,Unknown,United States,
Clearco,Dublin,Finance,,,2022-06-06,Series C,Ireland,681
Shopee,Singapore,Food,,,2022-06-14,Unknown,Singapore,
